cart_id,qty,cost
101,131,2322
102,481,4025
103,77,4676
104,203,4275
105,429,2020
106,343,4692
107,372,3092
108,143,4765
109,408,1158
110,481,4601
111,209,4927
112,472,2774
113,486,1195
114,299,1218
115,413,2935
116,117,2974
117,201,1906
118,156,2709
119,483,3398
120,91,2490
121,289,4688
122,74,198
123,187,3919
124,449,580
125,408,3326
126,355,3692
127,457,513
128,226,3231
129,104,516
130,394,2045
131,322,3655
132,349,2460
133,257,3466
134,470,1406
135,324,1744
136,239,3937
137,176,4582
138,446,749
139,454,4795
140,116,2224
141,429,2356
142,156,2770
143,364,808
144,497,621
145,172,1462
146,447,3895
147,99,1138
148,378,3253
149,407,1081
150,342,2526
