item_id,company_name,item_name,qty,price,category,discount
1746,Cronin and Sons,Puff Pastry - Slab,34,39,Health,
5420,Cormier-Nolan,Nut - Macadamia,49,35,Computers,6
2290,"Mann, Sipes and Jerde",Pear - Prickly,33,52,Tools,
4288,Russel-Pouros,Tomatoes - Grape,28,51,Shoes,6
7529,Schultz LLC,"Lamb - Loin, Trimmed, Boneless",65,35,Health,10
8129,"Turner, Veum and Wintheiser",Cream - 18%,11,71,Industrial,7
9364,Lowe-Koepp,Wine - Champagne Brut Veuve,70,53,Music,7
2221,"Gleichner, Sauer and Rowe",Bread - Granary Small Pull,68,48,Books,5
6627,"Boyer, Mayer and Rowe",Lettuce - Frisee,97,48,Industrial,7
1637,Barrows Inc,Lettuce - Sea / Sea Asparagus,58,70,Movies,7
7802,Farrell Inc,"Wine - White, Chardonnay",82,34,Home,
7815,Nienow-Kunde,"Wine - Cahors Ac 2000, Clos",41,35,Sports,7
5384,Goldner Group,Papadam,14,78,Clothing,6
2552,Hickle and Sons,"Lobster - Tail, 3 - 4 Oz",29,54,Movies,10
5611,Breitenberg-Blanda,Truffle Cups - White Paper,2,97,Books,6
5322,Schmeler-Weimann,Sugar - Cubes,58,87,Grocery,
9484,"Hartmann, Glover and Stark",Sponge Cake Mix - Vanilla,45,92,Kids,10
8003,Ritchie and Sons,Daves Island Stinger,31,71,Beauty,10
7214,"Hilll, Gibson and Wolf",Wine - Casablanca Valley,98,71,Jewelry,10
1159,MacGyver-Botsford,Long Island Ice Tea,71,49,Music,5
4233,Nader-Macejkovic,Bouq All Italian - Primerba,44,85,Movies,10
6396,Lesch-McKenzie,Olive - Spread Tapenade,89,33,Toys,9
5537,Murray-Schiller,Emulsifier,87,46,Sports,6
9864,Nolan Group,"Vermouth - White, Cinzano",88,68,Beauty,6
5068,Wuckert LLC,"Yogurt - Raspberry, 175 Gr",28,45,Clothing,10
4987,"Farrell, Gutmann and Gorczany",Fiddlehead - Frozen,42,66,Garden,5
8171,O'Keefe Group,French Pastry - Mini Chocolate,29,75,Tools,9
4410,"McLaughlin, Keebler and Quitzon",Wine - Tio Pepe Sherry Fino,88,94,Games,
6622,Mertz Group,Irish Cream - Baileys,79,33,Tools,5
4040,Mertz Inc,"Nut - Pistachio, Shelled",45,47,Sports,10
3897,Fadel LLC,Vinegar - Sherry,78,43,Industrial,10
9385,"Zboncak, Jones and Bergnaum","Flour - Bran, Red",27,99,Toys,6
4287,Klocko-Metz,Muffin Batt - Choc Chk,13,88,Electronics,8
3305,Zemlak Group,"Pasta - Fusili, Dry",48,62,Beauty,8
2146,Spinka-Hackett,"Appetizer - Mini Egg Roll, Shrimp",44,61,Movies,7
4467,Marquardt Inc,"Turkey - Breast, Double",55,48,Computers,9
6096,Ernser LLC,"Tomatoes - Plum, Canned",68,96,Shoes,8
4648,Upton LLC,Sorrel - Fresh,29,58,Kids,10
5394,"Schulist, Bailey and Schultz",Appetizer - Shrimp Puff,42,47,Shoes,9
8942,"Schinner, Wiza and Friesen","Tart Shells - Sweet, 4",76,83,Industrial,7
9009,"Bailey, Harber and Pfeffer","Pasta - Cannelloni, Sheets, Fresh",9,73,Toys,5
5376,Ruecker LLC,Soup - Base Broth Beef,80,32,Toys,7
9368,Hills-Boyle,Oranges,53,76,Sports,10
1232,Thompson and Sons,Soup - Campbells Beef Stew,30,34,Electronics,5
7177,"Runolfsdottir, Braun and Jenkins",Chicken - Bones,10,70,Grocery,
6899,"Feil, Willms and Veum",Filling - Mince Meat,98,82,Kids,10
6951,Considine Group,Paper Cocktail Umberlla 80 - 180,36,79,Health,10
9147,"Bergstrom, Goyette and Rowe","Lid - High Heat, Super Clear",54,82,Shoes,6
6648,Balistreri LLC,Gelatine Leaves - Bulk,65,72,Toys,9
4294,Torp-Bernier,"Yogurt - Banana, 175 Gr",64,68,Toys,8
